Date/Time;Temperature;Setpoint Temperature °C;Temperature Control (P) %;Temperature Control (I) %;Temperature Control (D) %
18.01.26 17:44:37;-6,46;0,00;43,06;13,90;-0,03
18.01.26 17:44:39;-6,46;0,00;43,06;13,99;-0,02
18.01.26 17:44:41;-6,46;0,00;43,06;14,07;-0,02
18.01.26 17:44:43;-6,46;0,00;43,06;14,16;-0,02
18.01.26 17:44:45;-6,46;0,00;43,06;14,25;-0,02
18.01.26 17:44:47;-6,46;0,00;43,06;14,33;-0,02
18.01.26 17:44:49;-6,46;0,00;43,06;14,42;-0,01
18.01.26 17:44:51;-6,46;0,00;43,06;14,55;-0,11
18.01.26 17:44:54;-6,41;0,00;42,73;14,63;-0,10
18.01.26 17:44:56;-6,46;0,00;43,06;14,72;-0,09
18.01.26 17:44:58;-6,41;0,00;42,73;14,80;-0,09
18.01.26 17:45:00;-6,41;0,00;42,73;14,89;-0,08
18.01.26 17:45:02;-6,41;0,00;42,73;14,97;-0,07
18.01.26 17:45:04;-6,41;0,00;42,73;15,06;-0,06
18.01.26 17:45:06;-6,41;0,00;42,73;15,15;-0,06
18.01.26 17:45:08;-6,41;0,00;42,40;15,23;-0,15
18.01.26 17:45:10;-6,36;0,00;42,40;15,32;-0,13
18.01.26 17:45:12;-6,36;0,00;42,40;15,40;-0,12
18.01.26 17:45:14;-6,36;0,00;42,40;15,49;-0,11
18.01.26 17:45:16;-6,36;0,00;42,40;15,57;-0,09
18.01.26 17:45:18;-6,36;0,00;42,40;15,65;-0,09
18.01.26 17:45:20;-6,31;0,00;42,07;15,78;-0,17
18.01.26 17:45:22;-6,36;0,00;42,40;15,87;-0,06
18.01.26 17:45:25;-6,31;0,00;42,07;15,95;-0,15
18.01.26 17:45:27;-6,31;0,00;42,07;16,03;-0,14
18.01.26 17:45:29;-6,36;0,00;42,40;16,12;-0,03
18.01.26 17:45:31;-6,31;0,00;42,07;16,20;-0,12
18.01.26 17:45:33;-6,31;0,00;42,07;16,29;-0,11
18.01.26 17:45:35;-6,31;0,00;42,07;16,37;-0,10
18.01.26 17:45:37;-6,31;0,00;42,07;16,46;-0,09
18.01.26 17:45:39;-6,31;0,00;42,07;16,54;-0,08
18.01.26 17:45:41;-6,31;0,00;42,07;16,62;-0,07
18.01.26 17:45:43;-6,31;0,00;42,07;16,71;-0,06
18.01.26 17:45:45;-6,31;0,00;42,07;16,79;-0,06
18.01.26 17:45:47;-6,31;0,00;42,07;16,88;-0,15
18.01.26 17:45:49;-6,26;0,00;41,74;16,96;-0,13
18.01.26 17:45:51;-6,26;0,00;41,74;17,09;-0,12
18.01.26 17:45:54;-6,26;0,00;41,74;17,17;-0,11
18.01.26 17:45:56;-6,26;0,00;41,74;17,25;-0,10
18.01.26 17:45:58;-6,26;0,00;41,74;17,34;-0,09
18.01.26 17:46:00;-6,26;0,00;41,74;17,42;-0,08
18.01.26 17:46:02;-6,26;0,00;41,74;17,50;-0,07
18.01.26 17:46:04;-6,26;0,00;41,74;17,59;-0,07
18.01.26 17:46:06;-6,26;0,00;41,74;17,67;-0,06
18.01.26 17:46:08;-6,26;0,00;41,74;17,75;-0,05
18.01.26 17:46:10;-6,26;0,00;41,74;17,84;-0,05
18.01.26 17:46:12;-6,21;0,00;41,41;17,92;-0,14
18.01.26 17:46:14;-6,21;0,00;41,41;18,00;-0,12
18.01.26 17:46:16;-6,21;0,00;41,41;18,09;-0,11
18.01.26 17:46:18;-6,21;0,00;41,41;18,17;-0,10
18.01.26 17:46:20;-6,21;0,00;41,41;18,29;-0,09
18.01.26 17:46:23;-6,21;0,00;41,41;18,38;-0,08
18.01.26 17:46:25;-6,21;0,00;41,41;18,46;-0,07
18.01.26 17:46:27;-6,21;0,00;41,41;18,54;-0,06
18.01.26 17:46:29;-6,21;0,00;41,08;18,62;-0,15
18.01.26 17:46:31;-6,16;0,00;41,08;18,71;-0,14
18.01.26 17:46:33;-6,16;0,00;41,08;18,79;-0,13
18.01.26 17:46:35;-6,16;0,00;41,08;18,87;-0,11
18.01.26 17:46:37;-6,16;0,00;41,08;18,95;-0,10
18.01.26 17:46:39;-6,16;0,00;41,08;19,03;-0,09
18.01.26 17:46:41;-6,16;0,00;41,08;19,12;-0,08
18.01.26 17:46:43;-6,11;0,00;40,75;19,20;-0,17
18.01.26 17:46:45;-6,11;0,00;40,75;19,28;-0,15
18.01.26 17:46:47;-6,11;0,00;40,75;19,36;-0,14
18.01.26 17:46:49;-6,11;0,00;40,75;19,44;-0,12
18.01.26 17:46:51;-6,11;0,00;40,75;19,57;-0,11
18.01.26 17:46:54;-6,11;0,00;40,75;19,65;-0,10
18.01.26 17:46:56;-6,11;0,00;40,75;19,73;-0,19
18.01.26 17:46:58;-6,06;0,00;40,42;19,81;-0,17
